data_type,algo,seed,train.val,auc
CLN_MTB_PRT_MIR_MET,lr,6,1,0.7663638716356108
CLN_MTB_PRT_MIR_MET,avg,6,1,0.7428390269151139
CLN_MTB_PRT_MIR,svc,6,0,0.7883636363636364
CLN_MTB_PRT_MIR,xgb,6,0,0.7749545454545455
CLN_MTB_PRT_MIR,lr,6,0,0.7622727272727273
CLN_MTB_PRT_MIR,avg,6,0,0.7999090909090909
MTB,svc,6,1,0.6974404761904762
MTB,xgb,6,1,0.7414816252587991
MTB,lr,6,1,0.731238354037267
MTB,avg,6,1,0.7379554865424431
PRT,svc,6,0,0.6451363636363635
PRT,xgb,6,0,0.595590909090909
PRT,lr,6,0,0.6487272727272727
PRT,avg,6,0,0.6484545454545454
CLN_MTB_PRT_MIR,svc,6,1,0.7160261387163562
CLN_MTB_PRT_MIR,xgb,6,1,0.7553739648033126
CLN_MTB_PRT_MIR,lr,6,1,0.7663638716356108
CLN_MTB_PRT_MIR,avg,6,1,0.7401268115942029
CLN_MTB,svc,6,0,0.7937272727272726
CLN_MTB,xgb,6,0,0.7586363636363637
CLN_MTB,lr,6,0,0.7741818181818182
CLN_MTB,avg,6,0,0.7924545454545455
CLN_MET,svc,6,1,0.7648110766045549
CLN_MET,xgb,6,1,0.7697463768115942
CLN_MET,lr,6,1,0.769246894409938
CLN_MET,avg,6,1,0.7763923395445135
CLN_PRT,svc,6,0,0.7613181818181818
CLN_PRT,xgb,6,0,0.7606818181818181
CLN_PRT,lr,6,0,0.752909090909091
CLN_PRT,avg,6,0,0.7854545454545454
CLN_PRT,svc,6,1,0.7067831262939959
CLN_PRT,xgb,6,1,0.7595652173913043
CLN_PRT,lr,6,1,0.7623524844720497
CLN_PRT,avg,6,1,0.7532453416149069
CLN_MIR,svc,6,0,0.7446363636363637
CLN_MIR,xgb,6,0,0.7306363636363635
CLN_MIR,lr,6,0,0.7424545454545455
CLN_MIR,avg,6,0,0.7485454545454546
CLN_MTB_PRT,svc,6,1,0.7081573498964804
CLN_MTB_PRT,xgb,6,1,0.7581961697722567
CLN_MTB_PRT,lr,6,1,0.7670186335403726
CLN_MTB_PRT,avg,6,1,0.736195652173913
MIR,svc,6,0,0.6424545454545455
MIR,xgb,6,0,0.568
MIR,lr,6,0,0.6445454545454545
MIR,avg,6,0,0.6373636363636364
CLN_MTB,svc,6,1,0.7597230848861283
CLN_MTB,xgb,6,1,0.7642934782608697
CLN_MTB,lr,6,1,0.7721299171842649
CLN_MTB,avg,6,1,0.7761568322981367
CLN_MIR_MET,svc,6,0,0.7427727272727273
CLN_MIR_MET,xgb,6,0,0.744
CLN_MIR_MET,lr,6,0,0.7438181818181818
CLN_MIR_MET,avg,6,0,0.758
CLN_MTB_MIR,svc,6,1,0.7576966873706004
CLN_MTB_MIR,xgb,6,1,0.7584420289855072
CLN_MTB_MIR,lr,6,1,0.7799171842650103
CLN_MTB_MIR,avg,6,1,0.7761878881987577
CLN_PRT_MET,svc,6,0,0.7691818181818182
CLN_PRT_MET,xgb,6,0,0.7635000000000001
CLN_PRT_MET,lr,6,0,0.752909090909091
CLN_PRT_MET,avg,6,0,0.7851818181818182
CLN_MIR_MET,svc,6,1,0.7568400621118012
CLN_MIR_MET,xgb,6,1,0.7633592132505177
CLN_MIR_MET,lr,6,1,0.7667313664596274
CLN_MIR_MET,avg,6,1,0.7689389233954451
CLN_MTB_PRT,svc,6,0,0.7966363636363636
CLN_MTB_PRT,xgb,6,0,0.7550000000000001
CLN_MTB_PRT,lr,6,0,0.7773636363636365
CLN_MTB_PRT,avg,6,0,0.8001818181818181
CLN_MTB_PRT_MET,svc,6,1,0.7134070910973085
CLN_MTB_PRT_MET,xgb,6,1,0.7602199792960663
CLN_MTB_PRT_MET,lr,6,1,0.7670186335403726
CLN_MTB_PRT_MET,avg,6,1,0.7455952380952381
CLN_MTB_MET,svc,6,0,0.7918181818181818
CLN_MTB_MET,xgb,6,0,0.7542272727272727
CLN_MTB_MET,lr,6,0,0.7951818181818182
CLN_MTB_MET,avg,6,0,0.7989999999999999
CLN_MTB_MET,svc,6,1,0.7593064182194618
CLN_MTB_MET,xgb,6,1,0.7557104037267081
CLN_MTB_MET,lr,6,1,0.7708928571428573
CLN_MTB_MET,avg,6,1,0.7770626293995859
MET,svc,6,0,0.3641818181818181
MET,xgb,6,0,0.545
MET,lr,6,0,0.518909090909091
MET,avg,6,0,0.5278181818181819
CLN,svc,6,1,0.77027950310559
CLN,xgb,6,1,0.761620082815735
CLN,lr,6,1,0.7687784679089027
CLN,avg,6,1,0.7741226708074535
CLN_PRT_MIR_MET,svc,6,0,0.7726363636363636
CLN_PRT_MIR_MET,xgb,6,0,0.7397272727272728
CLN_PRT_MIR_MET,lr,6,0,0.7555454545454546
CLN_PRT_MIR_MET,avg,6,0,0.7869090909090909
MET,svc,6,1,0.4393426501035197
MET,xgb,6,1,0.5369125258799172
MET,lr,6,1,0.5493762939958593
MET,avg,6,1,0.5419047619047619
CLN_MET,svc,6,0,0.7610909090909092
CLN_MET,xgb,6,0,0.7579090909090909
CLN_MET,lr,6,0,0.7626363636363636
CLN_MET,avg,6,0,0.7693636363636364
CLN_MTB_MIR_MET,svc,6,1,0.7542598343685301
CLN_MTB_MIR_MET,xgb,6,1,0.7536464803312629
CLN_MTB_MIR_MET,lr,6,1,0.7778726708074534
CLN_MTB_MIR_MET,avg,6,1,0.7616278467908902
CLN_PRT_MIR,svc,9,0,0.7682727272727273
CLN_PRT_MIR,xgb,9,0,0.7621363636363636
CLN_PRT_MIR,lr,9,0,0.729090909090909
CLN_PRT_MIR,avg,9,0,0.7985454545454546
CLN_PRT_MIR_MET,svc,9,1,0.7104813664596275
CLN_PRT_MIR_MET,xgb,9,1,0.7674197722567287
CLN_PRT_MIR_MET,lr,9,1,0.763871635610766
CLN_PRT_MIR_MET,avg,9,1,0.7662189440993789
CLN_MTB_MIR_MET,svc,9,0,0.7831363636363636
CLN_MTB_MIR_MET,xgb,9,0,0.7540454545454547
CLN_MTB_MIR_MET,lr,9,0,0.7663636363636365
CLN_MTB_MIR_MET,avg,9,0,0.7854545454545455
PRT,svc,9,1,0.5378442028985507
PRT,xgb,9,1,0.6331004140786749
PRT,lr,9,1,0.6380305383022774
PRT,avg,9,1,0.6479270186335404
CLN_MTB_PRT_MET,svc,9,0,0.8086363636363636
CLN_MTB_PRT_MET,xgb,9,0,0.7618181818181818
CLN_MTB_PRT_MET,lr,9,0,0.7572727272727273
CLN_MTB_PRT_MET,avg,9,0,0.8116363636363636
MIR,svc,9,1,0.4111076604554865
MIR,xgb,9,1,0.6755693581780539
MIR,lr,9,1,0.6643530020703933
MIR,avg,9,1,0.6696997929606625
CLN_MTB_PRT_MIR_MET,svc,9,0,0.803681818181818
CLN_MTB_PRT_MIR_MET,xgb,9,0,0.756909090909091
CLN_MTB_PRT_MIR_MET,lr,9,0,0.7765454545454545
CLN_MTB_PRT_MIR_MET,avg,9,0,0.8022727272727272
CLN_PRT_MET,svc,9,1,0.7272075569358178
CLN_PRT_MET,xgb,9,1,0.7812668219461697
CLN_PRT_MET,lr,9,1,0.7690812629399586
CLN_PRT_MET,avg,9,1,0.7861620082815736
CLN_MTB_MIR,svc,9,0,0.7815000000000001
CLN_MTB_MIR,xgb,9,0,0.7508181818181818
CLN_MTB_MIR,lr,9,0,0.7617272727272727
CLN_MTB_MIR,avg,9,0,0.7835454545454545
CLN_PRT_MIR,svc,9,1,0.7214479813664596
CLN_PRT_MIR,xgb,9,1,0.7641446687370601
CLN_PRT_MIR,lr,9,1,0.763871635610766
CLN_PRT_MIR,avg,9,1,0.7731935817805382
MTB,svc,9,0,0.7764545454545454
MTB,xgb,9,0,0.7687727272727273
MTB,lr,9,0,0.7566363636363636
MTB,avg,9,0,0.7883636363636364
CLN_MIR,svc,9,1,0.7618271221532091
CLN_MIR,xgb,9,1,0.7703985507246378
CLN_MIR,lr,9,1,0.7879166666666667
CLN_MIR,avg,9,1,0.7819306418219462
CLN,svc,9,0,0.7516363636363637
CLN,xgb,9,0,0.7485909090909091
CLN,lr,9,0,0.75
CLN,avg,9,0,0.7611818181818183
CLN_MTB_PRT_MIR_MET,svc,9,1,0.7437474120082815
CLN_MTB_PRT_MIR_MET,xgb,9,1,0.7952717391304348
